URL,Title,Description,Content,full_content,topic
https://www.engadget.com/starlink-for-rv-is-now-starlink-roam-051551211.html,Starlinks global roaming option is now live for 200 a month,Starlink for RVs has been officially rebranded as Starlink Roam now that you can opt for a global roaming package and take your terminal anywhere with you in the world where the service is available In SpaceXs announcement it said the option is meant for ,Starlink for RVs has been officially rebranded as Starlink Roam now that you can opt for a global roaming package and take your terminal anywhere with you in the world where the service is available 1524 chars,Starlink for RVs has been officially rebranded as Starlink Roam now that you can opt for a global roaming package and take your terminal anywhere with you in the world where the service is available In SpaceXs announcement it said the option is meant for people traveling to locations where connectivity has been unreliable or completely unavailable The global roaming option will set you back 200 a month instead of the 150 a month its regional counterpart costs Starlinks service for RVs was originally priced at 135 a month but it raised its prices this February Further if you look at the Starlink website youll see that global roaming is only available with the 599 portable hardware Thats the services terminal that does not provide you with internet connectivity while your vehicle is in motion If you want to be able to use Starlink on a vehicle thats on the move youll have to purchase the 2500 Flat High Performance terminal But again you can only get it with a regional subscription thats geofenced to work on land within the same continent as your registered shipping address Take note that if you use Starlink in a foreign country for more than two months you may be required to change your registered address altogether Starlink started sending out emails about an upcoming global roaming option last month It said back then that global roaming services are contingent on regulatory approvals because it still doesnt have the authority to offer internet connectivity in some countries like India Starlink also said that you might experience brief periods of poor connectivity or none at all while its working to expand its satellite network for more coverage Starlink now offers global roaming httpstcoWlRNSDfwJ6  Elon Musk elonmusk March 15 2023,science
https://www.engadget.com/a-tiktok-ban-is-a-lot-more-complicated-than-just-shutting-down-the-app-201114677.html,A TikTok ban is a lot more complicated than just shutting down the app,Disentangling ourselves from TikTok is more complicated than simply banning the app just ask the state of Maryland According to a new report in The Wall Street Journal its one of several states that used TikToks tracking pixel on a government website d,Disentangling ourselves from TikTok is more complicated than simply banning the app just ask the state of Maryland According to a new report in The Wall Street Journal its one of several states  2645 chars,A TikTok ban is a lot more complicated than just shutting down the app Two states that banned TikTok used the companys tracking pixel on state websites Disentangling ourselves from TikTok is more complicated than simply banning the app just ask the state of Maryland According to a new report in The Wall Street Journal its one of several states that used TikToks tracking pixel on a government website despite a statewide ban barring TikTokrelated software from official devices and networks According to the report Maryland was one of 27 states that had code for TikToks tracking pixel embedded in an official government website While these types of tools are extremely common  tracking pixels help online advertisers target their ads  their use has also been widely criticized by privacy advocates In Marylands case the TikTok pixels were reportedly found on a staterun COVID website and were related to an ad campaign from last year Likewise TikToks pixel was also found on a website run by Utahs Department of Workforce Services which told The Wall Street Journal the pixel was used for an ad campaign targeting job seekers Like Maryland Utah has also banned TikTok from government devices The report underscores how even with bans in place governments are finding it difficult to disentangle themselves from TikTok completely The company is currently grappling with the threat of a nationwide ban in the United States if parent company ByteDance doesnt divest its stake in the service CEO Shou Zi Chew is set to testify in a Congressional hearing on Thursday when he will make the case that banning the app would hurt its 150 million American users Subscribe to the Engadget Deals Newsletter Great deals on consumer electronics delivered straight to your inbox curated by Engadgets editorial team See latest Subscribe Please enter a valid email address Please select a newsletter By subscribing you are agreeing to Engadgets Terms and Privacy Policy Elsewhere a new report in Forbes highlighted other issues that a nationwide ban may not fully resolve According to the report the personal data of TikTok users from India is still accessible to TikTok and ByteDance employees despite the country banning the app in 2020  Forbes points out that this is likely due to the terms of Indias ban which apparently did not seem to call for deletion of app data that had already been captured and stored Even so its not the first time security experts have questioned whether it would ever be possible to claw back TikTok user data thats already been collected by the company In an odd way that may make it a bit easier for TikTok to argue that an outright ban would be less effective than its multibilliondollar plan to impose strict data controls and other measures meant to lock down US user data That plan known as Project Texas has so far failed to persuade lawmakers and the Treasury Department officials involved in the yearslong negotiations with TikTok All products recommended by Engadget are selected by our editorial team independent of our parent company Some of our stories include affiliate links If you buy something through one of these links we may earn an affiliate commission All prices are correct at the time of publishing,science
https://www.wired.com/story/svbs-collapse-is-causing-chaos-in-indias-tech-sector/,SVBs Collapse Is Causing Chaos in Indias Tech Sector,The bank was popular among Indian founders who needed US accounts But many have struggled to get their money out,In case of India the number of Indian startups impacted is definitely very high compared to other nations except for US but the capital would not be as much says Smriti Tomar founder and CEO o 2819 chars,At 3 am on Friday March 10 Kesavan Kanchi Kandadai was woken by a phone call from a friend in the US Within hours Kandadai founder and CEO of HR tech startup ishieldai was rushing to arrange wire transfers One hundred percent of his companys funds were held in Silicon Valley Bank which was collapsing This is a problem that no startup founder will anticipate Kandadai says Its like a black swan event When he spoke to WIRED Kandadai hadnt slept for two days and had been attending backtoback webinars with lawyers and accountants Kandadai thought hed got all but a fraction of his funds out but as of Monday March 13 they still werent showing in his Indian bank account Access to his SVB account had been restored but his wire transfers hadnt gone through International transfers are still suspended leaving him in limbo The collapse of the Californiabased bank sparked by a run on deposits late last week has reverberated across Indias tech sector SVB provided banking services to more than 2500 venture capital firms and roughly half of the VCbacked companies in the US That includes a large number of Indian companies with US venture capital funding and much of Indias 13 billion softwareasaservice industry which services American clients Many founders like Kandadai have had to scramble to get their money out or risk being unable to make payroll and pay suppliers This was a global catastrophe A serious number of jobs were at risk everywhere from small towns in India that youve never heard of to San Francisco says Anand Krishna founder of fintech startup Inkle A lot of startups in India are still remote and those jobs were at serious risk because people were running out The rapid growth of Indias tech sector has attracted billions of dollars of VC funding from the US over the past decade and brought many Indian companies into incubator programs such as Y Combinator Heavyweight US investors have typicallyand controversiallypressured global companies to set up domiciles and bank accounts in the US SVB was popular among Indian founders because the bank allowed them to open accounts remotely and unlike high street banks like JPMorgan Chase or Wells Fargo it didnt require them to have a social security number SSN Theyve been exceptionally good to tech founders especially founders like ours who dont have an SSN number or a local presence in the US said Kandadai So they were able to really work with the founder sitting in India open the account get them access and do all the paperwork digitally and get started Kandadai had his SVB bank account set up and running in a couple of days It isnt clear how many Indian founders were banked by SVB but its likely to be in the hundreds Local media reports suggest that around 60 Indian startups backed by Y Combinator have deposits over 250000 each trapped in SVBthe US government typically guarantees deposits up to 250000 Among publicly listed Indian technology companies gaming firm Nazara Tech reported to the bourses that it has 775 millionaround 11 percent of its cashstuck in SVB,business
https://www.wired.com/story/sandhu-manhunt-india-twitter-internet-blackout/,A Manhunt in India Left 27 Million People Without Mobile Internet,Authorities ordered Twitter accounts blocked and the internet shut down as they hunt for Sikh separatist Amritpal Singh Sandhu,Manish Kumar runs a car rental service in the city of Jalandhar in Indias northern state of Punjab For the past two weeks his business has been strugglingstarting on March 18 when for four days  2809 chars,Manish Kumar runs a car rental service in the city of Jalandhar in Indias northern state of Punjab For the past two weeks his business has been strugglingstarting on March 18 when for four days mobile internet was shut down across large areas of the state on the order of the government Many of his customers use Google Pay to pay their bills Most people these days prefer to pay via ecommerce he said The shutdown meant they couldnt do that From March 18 to 21 27 million people across Punjab were left without mobile internet access disrupting lives and businesses In some districts the blackout went on for more than a week As the government tried to stop the spread of informationor in its words fake newsit demanded that Twitter block more than 120 accounts from those belonging to local journalists to that of Canadian politician Jagmeet Singh It was all to hunt for one mana 30yearold Sikh separatist Amritpal Singh Sandhu Sandhu is a preacher and a prominent figure in a movement demanding the creation of an independent state for the Sikh community known as Khalistan The movement has sympathizers among the large Sikh diaspora particularly in the UK and Canada but Indian officials treat it as a threat to national security Sandhus rise in Punjab politics has been rapid Until last year he was based in Dubai working for his familys transport business Then in March 2022 he became a surprise choice as head of Waris Punjab De a pressure group founded to advocate for farmers rights in Punjab In August he returned to Punjab The manner of his arrival seemed calibrated to drive attention on social media He landed dressed like a famous Sikh militant Jarnail Singh Bhindranwale who was killed by government forces inside the Golden Temple in Amritsar in 1984 Sandhus supporters posted the image across multiple Facebook pages attention started to snowball online and his profile grew until his story broke out on mainstream media He was cleanshaven until a year ago says Hartosh Singh Bal executive editor of The Caravan magazine who has written extensively about Punjab Suddenly he comes into Punjab claims many things grows his hair baptizes himself and grows a following There is a huge amount of construction in this man who never had support on the ground on any large level His reach also grew among the huge Sikh diaspora Many families have members overseas the result of emigration wavesone of which came after huge riots sparked by Bhindranwales death Money from the diaspora supports causes and politicians making overseas Sikhs influential in the states political life Then in February Sandhu and a group of armed supporters stormed a police station in Ajnala 15 miles from Amritsar in Western Punjab in retaliation for the arrest of one of his aides Six police officers were injured The event gave Sandhu an aura Bal said But it was a while before the authorities finally started their operation to find him,business
https://gizmodo.com/google-play-store-android-india-third-party-app-stores-1850280275,Google Play Store Wriggles Way Out of Housing ThirdParty App Stores in Androids Biggest Market,Google will not have to host thirdparty Android app stores in the Indian version of its Play Store following antitrust rulings from January The company is still facing a 161 million fine from Indian regulators though they have eased up on how Android sho,Google will not have to host thirdparty Android app stores in the Indian version of its Play Store following antitrust rulings from January The company is still facing a 161 million fine from Ind 3264 chars,Google will not have to host thirdparty Android app stores in the Indian version of its Play Store following antitrust rulings from January The company is still facing a 161 million fine from Indian regulators though they have eased up on how Android should function in the country moving forward This comes in the wake of global legal action against Googles anticompetitive actions across its entire business as well as an EU ruling that might require Google and Apple to allow for more open markets  down the line including potentially making way for third party app stores  A few months back Google was under antitr ust fire when the Competition Commission of India CCI ruled that the company had to be more permissive to thirdparty app stores and payment methods on its platform It also ruled that Google could no longer withhold a license for the Android OS based on whether a manufacturer included Google branded apps preinstalled on the device Advertisement Google has since appealed the decision and will receive some relief through relaxed enforcement of four of the ten directives The National Company Law Appellate Tribunal NCLAT which handles these kinds of appeals in India is still requiring Google to pay the penalty fees But Google wont have to host thirdparty Android app stores in the Play Store Instead users will still have to sideload an APK just like the olden days This has been a practice on Android pretty much since its inception and its rumored that it might be how both Google and even Apple gets around a recent EU ruling requiring more open markets when it starts to go into effect next month or so the rumors foretell The directive was meant to diversify Androids offerings in a market where it is the dominant operating system by over 90 Google feared the directive because allowing Indian Android users to go through other app stores for app downloads and other content meant less time spent inside Googles virtual shops as well as fewer opportunities for Google to take a cut on paid content GO Media may get a commission 28 Off Hoover PowerDash Pet Compact Carpet Cleaner Spring cleaning for pet owners This Hoover carpet cleaner has HeatForce technology that dries fast Buy for 86 at Amazon Advertisement Advertisement Google offered a statement to TechCrunch We are grateful for the opportunity given by the NCLAT to make our case We are reviewing the order and evaluating our legal options Advertisement Google has agreed to other changes on the Android platform as it exists in India Android will allow for more user choice on default search engines and even inapp billing so that the company isnt always taking a 30 cut with each inapp transaction It has also loosened its requirements for which Google apps are installed by default Indian OEMs will be allowed to pick and choose the apps as they please rather than be required to include the whole kit and caboodle Google continues to face legal concerns over its growing business elsewhere in the world In the E U it racked up a whopping  97 Billion in fines over anticompetitive practices And in the US Alphabet is butting heads with the Department of Justice over its adtech business Advertisement Its currently unclear how strictly the EUs Digital Markets Act will affect Android and if it will have to make similar appeals there to the ones it did in India  But given that the EU is forcing Apple to adopt USBC its worth keeping track of legal restrictions placed on Google and Android in their largest international markets as its often cheaper for these companies to change how their products work everywhere rather than make concessions on a country by country basis,science
https://gizmodo.com/blade-mcu-eternals-kit-harington-black-knight-dane-1850245556,The Blade Movie May Have Dropped Its Link to Eternals,SpiderMan Across the SpiderVerse teases a secret dimension for Miles and friends to visit Seth McFarlane still has hopes for another season of The Orville Plus whats coming on Syfys The Ark To me my spoilersRead more,SpiderMan Across the SpiderVerse teases a secret dimension for Miles and friends to visit Seth McFarlane still has hopes for another season of The Orville Plus whats coming on Syfys The Ark To 3289 chars,SpiderMan Across the SpiderVerse teases a secret dimension for Miles and friends to visit Seth McFarlane still has hopes for another season of The Orville Plus whats coming on Syfys The Ark To me my spoilers Advertisement Lure Deadline reports Corin Hardy The Nun is attached to direct Lure a new supernatural horror film at Universal and Platinum Dunes Though details on the plot are currently under wraps the story is said to be based on the haunting of the reallife Kings Tavern the most haunted building in all of Mississippi with one of its tenants being the murdered mistress of one of the taverns original owners GO Media may get a commission 28 Off Hoover PowerDash Pet Compact Carpet Cleaner Spring cleaning for pet owners This Hoover carpet cleaner has HeatForce technology that dries fast Buy for 86 at Amazon Advertisement Advertisement Blade During a recent episode of The Hot Mic podcast via The Direct entertainment insider Jeff Sneider alleged Kit Harringtons Black Knight is no longer really involved in the MCUs Blade leaving the current shooting script just 87pages long Someone reached out to say that with Blade things have gotten a little bit better Things have shaped up the script is leaner and meaner and they cut out the fat but the script I heard about was like 87 pages like there wasnt enough and theyd shaved it to the bone What theyd cut out I heard is that Blade was gonna tiein with Eternals and Kit Harringtons Black Knight Black Knights not really involved in the Blade thing anymore They may be recasting a few parts including maybe the daughter was there like a 14yearold girl They may recast that Advertisement SpiderMan Across the SpiderVerse According to Empire Magazine Across the SpiderVerse will introduce five new universes Gwens Earth65 with its distinctive watercolor palette the Indiainspired Mumbattan Nueva York the home of Oscar Isaacs SpiderMan 2099 a k a Miguel OHara the punky New London inhabited by Daniel Kaluuyas SpiderPunk plus a secretive fifth dimension thats being kept tightly under wraps for now Advertisement Ghostbusters Firehouse Filming is officially underway on the latest and currently untitled Ghostbusters movie codenamed Firehouse Advertisement Dungeons  Dragons Honor Among Thieves Michelle Rodriguez kicks ass with a floor tile in a new clip from Dungeons  Dragons Honor Among Thieves Advertisement Tetris The cast and crew of Tetris add their commentary to footage from the trailer in a new featurette from Apple TV Tetris  The Story Behind Tetris  Apple TV Colonials An astronaut returning from Mars is attacked by a race of moon people in the trailer for Colonials Colonials 2023 Official Trailer Mephisto On the previously mentioned episode of The Hot Mic podcast via Coming Soon Jeff Snieder stated a Mephisto special at Disney is currently filming on the set of Agatha Coven of Chaos They told me theres a Mephisto special shooting right now on the set of Agatha Coven of Chaos with Sacha Baren Cohen It sounds like they may be doing his very own special Advertisement Black Panther The Golden City Jeff Sneider also claims a Black Panther animated series titled The Golden City is also in development Coming Soon Advertisement The Orville Seth McFarlane remains cautiously optimistic The Orville will be renewed for a fourth season at Hulu Advertisement The Ark Finally an unpopular decision leads to mutiny in the synopsis for The Painful Way the March 29 episode of The Ark After an unpopular decision discord gives way to deadly mutiny in which loyalties are tested Advertisement Spoiler TV Want more io9 news Check out when to expect the latest Marvel Star Wars and Star Trek releases whats next for the DC Universe on film and TV and everything you need to know about the future of Doctor Who,entertainment
https://gizmodo.com/playboy-magazine-new-platform-onlyfans-subscription-1850226149,Playboy Magazine Returns to Internet With New OnlyFansStyle Platform,The company is relaunching its iconic magazine online to promote its new creator platform called unsurprisingly Playboy,Leer en espaol Is there still room in todays world for Playboy The popular magazines current owner PLBY Group is reviving the original magazine in a digitalonly format with a catch This new P 4732 chars,Leer en espaol Is there still room in todays world for Playboy The popular magazines current owner PLBY Group is reviving the original magazine in a digitalonly format with a catch This new Playboy is a virtual display window for an OnlyFansstyle platform called of course Playboy The company announced on Monday that it was bringing back its iconic magazine with a mix of free and paid content According to Variety the new Playboy will offer select content for free but will require users to pay individual creators for behindthescenes content and full photo shoots Playboys first issue will be released at the end of this year but you can already view some of its first photos on Playboys website which feature the model Amanda Cerny Advertisement The Playboy platforms business model is very similar to one used by OnlyFans although there are some differences chiefly that Playboy allows nude photos but not hardcore porn Many of our creators do not have nudity on their pages a Playboy spokesperson told Variety While we allow nudity we do not allow explicit contentpornography We are not positioning this as an adult platformits for everyone including mainstream creators sharing behind the scenes of their lives GO Media may get a commission 28 Off Hoover PowerDash Pet Compact Carpet Cleaner Spring cleaning for pet owners This Hoover carpet cleaner has HeatForce technology that dries fast Buy for 86 at Amazon Advertisement Advertisement Unlike OnlyFans Playboy wont directly allow amateur models on its platform In order post on the site models have to send in an application and be accepted by the company The h istory of Playboy Magazine To understand exactly why Playboy the company decided to use its iconic magazine to promote its new creator platform its important to understand the magazines recent history Back in 2011 Playboy founder Hugh Hefner sold Playboy Enterprises to a company called Rizvi Traverse Since then the magazine has been fighting a threepronged battle To separate itself from its shady origins and history of discrimination against women to find a market on the internet where easy to find naked pictures completely free of charge and to find a balance between allowing full nudity in the pages of its magazine and not ruining its product licensing business in markets that dont allow that type of content Advertisement In 2015 for instance Playboy removed nudes from its magazine covers The CEO of the company at that time Scott Flanders justified this decision in statements to The New York Times Youre now one click away from every sex act imaginable for free And so its just pass at this juncture Flanders told the outlet At that time Quartz saw Playboys decision differently pointing out that the company was trying to be cleaner and more politically correct in its print edition to help its business in China and India Considering that Playboy generated 40 of its revenues from China at that time it made sense Advertisement Hefner died in 2017 and Playboy Enterprises decided to shutter the print version of the magazine in 2020 There were rumors about retiring the print magazine starting in 2018 partly due to the general crisis facing print magazines Playboy began publishing in 1953 and reached maximum circulation in 1975 when it printed 56 million copies of an issue in the US By 2018 its circulation had dwindled to less than 500000 copies per issue In March of 2020 the CEO of Playboy Enterprises Ben Kohn announced that the magazines spring issue would be its last in print The official reason Kohn cited for this decision was the distribution problems caused by the Covid19 pandemic but its clear the print version of the magazine had been heading for the chopping block for some time Advertisement One year later Kohn announced that Rizvi Traverse would merge with Mountain Crest Acquisition Corp to form PLBY Group a company with three main business areas content licensing to third parties the sale of directtoconsumer products and digital content At that time Playboy already sold subscriptions for nude content on its website In May of 2022 in hired exTwitch executive Loren Piretra to launch Centerfold by Playboy a subscription platform similar to OnlyFans with its own app Advertisement Back in September PLBY Group scrapped the Centerfold name and integrated its creator platform with the original brand deciding to call it simply Playboy Is there still room in todays world for Playboy The question has nothing to do with nude photosat this point of the internet we should already be used to thosebut rather with its business model Advertisement Playboy defines its platform as an elevated safe and exclusive version of OnlyFans In practice what Playboy proposes is a mix of Instagram TikTok and OnlyFans but with content produced by professionals and sold via a subscription with no ads The problem is that Instagram TikTok and Twitter are already full of very talented artists whose content you can access without paying anything or by paying the artists directly via monetization platforms like Patreon KoFi or Twitters own monetization features,science
https://www.bbc.co.uk/news/world-asia-india-64979731,Safety pin A tiny tool Indian women use to fight sexual harassment,Almost every day women in India face sexual harassment in public places So how do they deal with it,Almost every woman in India has a story of sexual harassment that took place in crowded public spaces  when someone fondled her breasts or pinched her bottom elbowed her in the chest or rubbed hims 6579 chars,According to an online survey of 140 Indian cities in 2021 56 of women reported being sexually harassed on public transport but only 2 went to the police A vast majority said they took action themselves or chose to ignore the situation often moving away because they didnt want to create a scene or were worried about escalating the situation,health
https://www.bbc.co.uk/news/world-asia-india-64973574,Russia Ukraine invasion Indians are braving war to study in Ukraine,More than 1000 students have returned to finish degrees after fleeing fighting a year ago,Rishi Dwivedi left India last autumn and is back studying medicine in Ukraine despite the threat the war poses to his safety Air raid sirens alerting us about incoming missile or drone attacks go  5813 chars,We wonder if well be able to finish our course When helicopters or planes fly over us we are unable to sleep We worry if there is going to be an attack says Shrishti Moses a medical student in her fourth year in Lviv,business
https://www.bbc.co.uk/news/business-65010560,Sri Lanka 29bn IMF bailout for struggling economy,The deal is a lifeline for the country which is facing its worst economic crisis in over 70 years,Sri Lanka has secured a 29bn 23bn bailout from the International Monetary Fund IMF as it faces its worst economic crisis since independence The deal has been nearly a year in the making and 2719 chars,We have lived beyond our means Whether we like it or not these difficult measures which may be very unpopular need to be taken Mr Sabry said in an interview before the funding was announced,business
