URL,Title,Description,Content,full-content,topic,one line summary
https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2luZGlhL2luZGlhLWV4dGVuZHMtZXhwb3J0LWN1cmJzLWdhc29saW5lLWRpZXNlbC1nb3Zlcm5tZW50LTIwMjMtMDQtMDIv0gEA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,India extends export curbs on gasoline diesel  government  Reuters India,India extends export curbs on gasoline diesel  government Reuters India,We use cookies and data toulliDeliver and maintain Google servicesliliTrack outages and protect against spam fraud and abuseliliMeasure audience engagement and site statistics to unde 1131 chars,MUMBAI April 2 Reuters  India has extended restrictions on the export of diesel and gasoline the government said in a notification as New Delhi tries to ensure the availability of refined fuels for the domestic market The government had imposed the curbs on gasoline and gasoil exports through the end of the financial year on Friday The latest notification issued late on Saturday did not specify how long the curbs would remain in the place It asked refiners to commit to selling 50 of their annual volume of gasoline exports and 30 of their diesel exports in the domestic market The extension may discourage some Indian refiners mainly nonstate companies from buying Russian fuel for reexport to other countries including to European importers that have stopped purchases of refined products from Russia due to its invasion of Ukraine New Delhi last year imposed the rare restrictions after nonstate refiners Reliance Industries RELINS and Nayara Energy key Indian buyers of discounted Russian supplies began reaping substantial profits by aggressively boosting fuel exports instead of increasing domestic sales That forced state refiners to fill the void and meet demand at home by selling fuel at lower governmentcapped prices Reporting by Nidhi Verma and Rajendra Jadhav Editing by William Mallard and Edmund Klamann Our Standards The Thomson Reuters Trust Principles,business,India has extended restrictions on the export of diesel and gasoline the government said in a notification as New Delhi tries to ensure the availability of refined fuels for the domestic market
https://www.theguardian.com/world/2023/apr/02/unravelling-the-threads-that-link-us-to-the-slave-owning-past,Unravelling the threads that link us to the slaveowning past  Letters,Readers respond to David Olusogas article on how slavery shaped the Guardian Britain and the worldMy career in textiles from the 1970s to the 1990s took me many times to the mills of West Yorkshire and Lancashire Being fascinated with old buildings I marv,My career in textiles from the 1970s to the 1990s took me many times to the mills of West Yorkshire and Lancashire Being fascinated with old buildings I marvelled at the architectural glories of th 3539 chars,My career in textiles from the 1970s to the 1990s took me many times to the mills of West Yorkshire and Lancashire Being fascinated with old buildings I marvelled at the architectural glories of the likes of Salts Mill the Black Dyke Mills Lister Mill in Bradford and many smaller though equally impressive edifices Never once did it cross my mind that these dark satanic mills were not only products of Yorkshire and Lancashire entrepreneurs but built on the back of a vast network of slaves and slaveowning people who amassed the wealth of Great Britain in the industrial revolution Is it too patronising to congratulate the Guardian for the recognition of its involvement in this with the founders of the paper being patrons and owners of companies involved David Olusogas wonderful research and work on this Slavery and the Guardian the ties that bind us 28 March should make us all think about how we have enjoyed the fruits of these industries As a white middleclass elderly woman I take my hat off to them and hope that we can all begin to see ourselves in a new light and set about realising where the privileges have come from that built the successful towns and cities in our country and which shaped the lives of people of my background Sue Neave Cleethorpes North East Lincolnshire David Olusoga lifts the veil on the relations between slavery and the growth of Britains cotton industry His article revealing as it is of blind spots in official and folk histories still misses a vital part of the narrative  how Britain came to command the global cotton industry through the deliberate destruction of the textile industry of India the hitherto dominant producer of finished cottons Mechanisation of cotton production in British factories depended on securing a mass Indian market through the dispossession and starvation of the Bengali handloom weavers a process that was then duplicated as documented by Edward Thompson in The Making of the English Working Class in the metropolis Empire was a system in which slavery was central as was the transformation of the colonies into sources for the extraction of raw materials to feed the industries of the coloniser Chris Sinha Cringleford Norfolk A thousand thanks  what a tremendous emotional shakeup the articles in your Cotton Capital series gave me Above all the list of names of those slaves whom your journalists and investigators successfully identified Behind each name is a tragic story that is impossible to understand from our position of comfort and security that we enjoy today I would especially like to thank David Olusoga for his remarkable article We can never atone enough for the wrongs that our English ancestors did and I am so grateful that you have decided to at least acknowledge the wrongs and make every effort to provide opportunities for others to find some sort of justice David Hesketh Castanet Tolosan France Here is my suggestion for a concrete meaningful way that the Guardian can begin to pay reparations for its past ties to slavery set up a fund to pay for schoolchildren in Ghana to visit Cape Coast Castle one of the main slavetrading forts for free When I visited it a few years ago to give a lecture on the history of the slave trade I was shocked to learn that Ghanaian children are charged to enter the castle making this important historical site offlimits to many of them This history is their history they must learn about this past and the Guardian can help them to do it Michelle Faubert University of Manitoba Canada,business,The article by David Olusoga in the Guardian on 28 March on the history of Britain's cotton industry has touched me deeply.
https://www.theguardian.com/world/live/2023/apr/02/russia-ukraine-war-live-absurd-and-destructive-for-russia-to-chair-security-council-says-zelenskiy,RussiaUkraine war live Absurd and destructive for Russia to chair security council says Zelenskiy,President furiously criticises international system for letting Russia hold key role while it wages war on Ukraine where top official calls it a symbolic blowFollow our Ukraine coverageWelcome back to our continuing coverage of the war in Ukraine Well be,Welcome back to our continuing coverage of the war in Ukraine Well be bringing you the latest developments as they happenRussia assumed charge of the UN security council on Saturday causing fury in 4157 chars,From 18h ago 1731 BST Russian prowar blogger killed in blast  reports A wellknown Russian military blogger Vladlen Tatarsky was killed in an explosion in a cafe in Russias second largest city of St Petersburg on Sunday the RIA news agency has reported At least 16 people were injured in the incident It is unclear whether the blast was directly linked to the conflict with Ukraine Updated at 1743 BST 17h ago 1848 BST A summary of todays developments A prominent prowar Russian military blogger has been killed in a blast in a cafe in central St Petersburg Russias interior ministry has said Vladlen Tatarsky whose real name was Maxim Fomin had more than 560000 followers on Telegram and was one of the countrys most influential military bloggers The interior ministry said 19 people were injured in the blast on Sunday Tatarsky was among the attendees at a Kremlin ceremony last September where Vladimir Putin proclaimed Russias annexation of four partly occupied regions of Ukraine a move widely condemned by the international community It is unclear whether the blast was directly linked to the conflict with Ukraine Russian forces have seen an extremely high number of incidents  including deaths  attributed to drunkenness during the war the UKs Ministry of Defence has said in its daily briefing While Russia has suffered up to 200000 casualties since its fullscale invasion of Ukraine a significant minority of these have been due to noncombat causes On 27 March 2023 a Russian Telegram news channel reported there have been extremely high numbers of incidents crimes and deaths linked to alcohol consumption amongst the deployed Russian forces At least three civilians have been killed and six wounded in Russian shelling of Kostiantynivka in eastern Ukraine on Sunday morning Reuters quotes a senior Ukrainian official as saying The European Union will stand against any abuse during Russias leadership of the United Nations security council over the next month its top diplomat Josep Borrell has said Borrell told Agence FrancePresse Despite being a permanent member of the security council Russia continuously violates the very essence of the UN legal framework The EU will stand against any abuse by the Russian presidency The Russian foreign minister Sergei Lavrov held a phone call with the US secretary of state Antony Blinken Reuters reports Lavrov reportedly claimed that Washington was trying to politicise the case of the Wall Street Journal reporter Evan Gershkovich who has been accused of spying in Russia calling this unacceptable The Russian foreign ministry said Lavrov told Blinken that Gershkovichs fate would be determined by a court Ukrenergo Ukraines electricity transmission operator said it has fully restored power to the country after a massive missile attack on 9 March The company said there were no restrictions on energy consumption after it finished its work in the central region Sky News reported Updated at 1851 BST 17h ago 1839 BST Russian investigators and police officers at the site of the blast in St Petersburg Photograph AP Updated at 1848 BST 17h ago 1836 BST Emergency services outside the cafe where the prowar blogger Vladlen Tatarsky was killed and at least 16 people were injured in the explosion Photograph AP Updated at 1847 BST 17h ago 1833 BST Russian police officers at the site of the explosion in St Petersburg Photograph AP Updated at 1834 BST 17h ago 1830 BST An investigator speaks on a phone at the site of the explosion at a cafe in St Petersburg Photograph AP Updated at 1833 BST 18h ago 1818 BST The British former air vicemarshal Sean Bell told Sky News there was not enough detail to suggest a perpetrator behind the blast in St Petersburg but he thought it was unlikely the Ukrainian government was involved He said It could have been the resistance movement much more likely As rising Russian casualties from the war in Ukraine theres increasing domestic unrest back at home If Tatarsky was deliberately targeted it would be the second assassination on Russian soil of a highprofile figure associated with the war in Ukraine Russias federal security service FSB accused Ukraines secret services last August of killing Darya Dugina the daughter of an ultranationalist in a car bomb attack near Moscow that Vladimir Putin called evil Ukraine denied involvement Updated at 1828 BST 18h ago 1803 BST Saudi Arabia and other Opec members have announced voluntary cuts to their oil production of about 115m barrels a day in a surprise move they said was aimed at supporting market stability The group of oilproducing countries had been largely expected to stick to its already agreed cuts of 2 million barrels a day when its ministerial panel which includes Saudi Arabia and Russia meets virtually on Monday The US has argued that the world needs lower prices to support economic growth and prevent Vladimir Putin from earning more revenue to fund Russias invasion of Ukraine Opec announces surprise cuts in oil production Read more Updated at 1807 BST 18h ago 1754 BST The military blogger Vladlen Tatarsky who was killed in the bomb blast in a cafe in St Petersburg on Sunday had more than 560000 followers on Telegram and was one of the most prominent of the influential military bloggers who have provided an often critical running commentary on Russias war in Ukraine Tatarsky whose real name was Maxim Fomin was among hundreds of attendees at a lavish Kremlin ceremony last September to proclaim Russias annexation of four partly occupied regions of Ukraine a move that most countries at the UN condemned as illegal Reuters reported A St Petersburg website said the explosion took place at a cafe that had at one time belonged to Yevgeny Prigozhin the founder of the Wagner private army that is fighting for Russia in Ukraine There was no indication who was behind the blast Updated at 1757 BST 18h ago 1731 BST Russian prowar blogger killed in blast  reports A wellknown Russian military blogger Vladlen Tatarsky was killed in an explosion in a cafe in Russias second largest city of St Petersburg on Sunday the RIA news agency has reported At least 16 people were injured in the incident It is unclear whether the blast was directly linked to the conflict with Ukraine Updated at 1743 BST 19h ago 1711 BST The European Union will stand against any abuse during Russias leadership of the United Nations security council over the next month its top diplomat Josep Borrell has said Borrell told Agence FrancePresse Despite being a permanent member of the security council Russia continuously violates the very essence of the UN legal framework The EU will stand against any abuse by the Russian presidency Updated at 1720 BST 19h ago 1644 BST Ukrenergo Ukraines electricity transmission operator said it has fully restored power to the country after a massive missile attack on 9 March The company said there were no restrictions on energy consumption after it finished its work in the central region Sky News reported The Zaporizhzhia power station which accounted for 20 of the countrys power generation before the invasion has been offline since September In a post on Telegram Ukrenergo thanked its Lithuanian colleagues for their assistance All restrictions on consumption which were introduced in the Kyiv region Zhytomyr region and Kharkiv region due to equipment damage during a massive enemy missile attack on 9 March have been lifted the statement read In other regions there are also no restrictions in Ukrenergo networks that would lead to the need to limit consumption Updated at 1652 BST 19h ago 1632 BST A person collects scrap metal in the aftermath of shelling of residential buildings in Kostiantynivka Photograph Violeta Santos MouraReuters Updated at 1638 BST 19h ago 1627 BST Lilya 19 inspects her bedroom in the aftermath of Russian shelling of residential buildings in Kostiantynivka in the Donetsk region Photograph Violeta Santos MouraReuters Updated at 1637 BST 20h ago 1601 BST Heres a little more detail on that phone call between Lavrov and Blinken The latter called for Gershkovichs immediate release the US state department has said According to Reuters the principal deputy spokesperson Vedant Patel said Secretary Blinken conveyed the United States grave concern over Russias unacceptable detention of a US citizen journalist The secretary called for his immediate release The news agency reports that Moscow said Lavrov reiterated Russias assertion for which it has not publicly stated any evidence that the journalist was caught redhanded last week It quotes the foreign ministry as saying Blinkens attention was drawn to the need to respect the decisions of the Russian authorities taken in accordance with the law and international obligations of the Russian Federation It was emphasised that it is unacceptable for officials in Washington and the western media to whip up a stir with the clear intention of giving this case a political colouring The conversation was initiated by Blinken the Russian side said Updated at 1611 BST 20h ago 1537 BST The Russian foreign minister Sergei Lavrov held a phone call with the US secretary of state Antony Blinken Reuters reports Lavrov reportedly claimed Washington was trying to politicise the case of the Wall Street Journal reporter Evan Gershkovich who has been accused of spying in Russia calling this unacceptable The Russian foreign ministry said Lavrov told Blinken that Gershkovichs fate would be determined by a court Updated at 1611 BST 21h ago 1505 BST Pictures are emerging of damage in Kostyantynivka where Ukrainian officials say six people were killed and eight wounded in a Russian missile attack Residents walk next to a damaged residential building in the town of Kostyantynivka in the Donetsk region Photograph Genya SavilovAFPGetty Images Russian missiles hit a densely populated area of Kostyantynivka Photograph Genya SavilovAFPGetty Images A crater in front of a damaged house after a massive bombardment of the village near Bakhmut Photograph Genya SavilovAFPGetty Images Updated at 1612 BST 23h ago 1321 BST Russian forces affected by alcohol consumption UK government assessment says Russian forces have seen an extremely high number of incidents  including deaths  attributed to drunkenness during the war the UKs Ministry of Defence has said in its daily briefing While Russia has suffered up to 200000 casualties since its fullscale invasion of Ukraine a significant minority of these have been due to noncombat causes On 27 March 2023 a Russian Telegram news channel reported there have been extremely high numbers of incidents crimes and deaths linked to alcohol consumption amongst the deployed Russian forces Other leading causes of noncombat casualties likely include poor weapon handing drills road traffic accidents and climatic injuries such as hypothermia Russian commanders likely identify pervasive alcohol abuse as particularly detrimental to combat effectiveness However with heavy drinking pervasive across much of Russian society it has long been seen as a tacitly accepted part of military life even on combat operations Updated at 1328 BST,business,"A daily guide to the key stories, newspaper headlines and quotes from the news"
https://www.theguardian.com/world/2023/apr/02/russia-ukraine-war-at-a-glance-what-we-know-on-day-403-of-the-invasion,RussiaUkraine war at a glance what we know on day 403 of the invasion,Absurd and destructive that Russia chairs security council  says Zelenskiy top US general Milley says Ukraine unlikely to expel Russian forces this year Continue reading,liRussia assumed charge of the UN security council on Saturday causing fury inside Ukraine with its presidentVolodymyr Zelenskiy labelling the situation absurd and destructive Its hard to imagine 4132 chars,Russia assumed charge of the UN security council on Saturday  causing fury inside Ukraine with its president Volodymyr Zelenskiy labelling the situation absurd and destructive  Its hard to imagine anything that proves more the total bankruptcy of such institutions In his daily video address Zelenskiy pointed out that Russian shelling had killed a fivemonthold boy on Friday and said it was time for a general overhaul of global institutions A top Ukrainian official has criticised the symbolic blow of Russia assuming the rotating presidency Andriy Yermak the Ukrainian presidents chief of staff wrote Its not just a shame It is another symbolic blow to the rulesbased system of international relations The Kremlin has said it will exercise all its rights in the role Russias foreign minister Sergei Lavrov will chair the meeting when Russia assumes the council presidency As of 1 April theyre taking the level of absurdity to a new level said Sergiy Kyslytsya Kyivs permanent representative Ukraines foreign minister Dmytro Kuleba said it was a stark reminder that something is wrong with the way international security architecture is functioning An intelligence update from the UKs Ministry of Defence MoD says the performance of the Russian chief of the general staff General Valery Gerasimov is pushing the limits of how far Russias political leadership will tolerate failure It adds Gerasimovs tenure has been characterised by an effort to launch a general winter offensive with the aim of extending Russian control over the whole of the Donbas region Eighty days on it is increasingly apparent that this project has failed Russias defence minister Sergei Shoigu has promised to increase the supply of munitions to Russian forces during a visit to the headquarters of Moscows troops fighting in Ukraine according to footage published by the defence ministry The International Monetary Funds executive board has approved a fouryear 156bn loan programme for Ukraine part of a global 115bn package of economic support The decision clears the way for an immediate disbursement of about 27bn to Kyiv and requires Ukraine to carry out ambitious reforms especially in the energy sector the fund has said The top US general Mark Milley has said Ukraine is unlikely to expel all Russian troops from its territory this year the Kyiv Independent reports citing an interview with Defense One Milley said I dont think its likely to be done in the nearterm for this year At least five people including a baby have been killed in Ukraine in the past 24 hours according to the Kyiv Independent Prosecutors have asked a court to put the abbot of the KyivPechersk Lavra monastery Metropolitan Pavel under house arrest He is accused of supporting Russias invasion of Ukraine and inciting religious hatred Pavel denies wrongdoing Volodymyr Zelenskiy wrote online that he had talks with Frances president Emmanuel Macron to discuss defence interaction and further steps to implement PeaceFormula Russia has lost at least six Zoopark1M counterbattery radar and will struggle to regenerate them because of sanctions the UK Ministry of Defence MoD has said The MoD added Regenerating counterbattery radar fleets is likely a key priority for both sides but Russia will likely struggle because the systems rely on supplies of hightech electronics which have been disrupted by sanctions Vladimir Putin has signed off on a new Russian foreign policy strategy aimed at curtailing western dominance and identifying China and India as key partners for the future The document cements the deep cold warstyle rupture between Russia and the west over Moscows war on Ukraine North Koreas Kim Yojong the sister of leader Kim Jongun has accused Ukraine of having nuclear ambitions state media KCNA has reported  basing her assertion on an online petition with fewer than 1000 signatures,business,"A daily guide to the key stories, newspaper headlines and quotes from the news"
https://time.com/6267894/blinken-lavrov-release-wall-street-journal-reporter/,Blinken Urges Lavrov to Immediately Release Wall Street Journal Reporter,Secretary of State Antony Blinken urged his Russian counterpart in a rare phone call between the diplomats since the Ukraine war to immediately release a Wall Street Journal reporter who was detained last week as well as another imprisoned American Paul Wh,WASHINGTON  Secretary of State Antony Blinken urged his Russian counterpart in a rare phone call between the diplomats since the Ukraine war to immediately release a Wall Street Journal reporter w 5243 chars,WASHINGTON  Secretary of State Antony Blinken urged his Russian counterpart in a rare phone call between the diplomats since the Ukraine war to immediately release a Wall Street Journal reporter who was detained last week as well as another imprisoned American Paul Whelan the State Department said Sunday In the call with Russian Foreign Minister Sergey Lavrov Blinken conveyed grave concern over the Kremlins detention of journalist Evan Gershkovich on espionage allegations according to a State Department summary of the call Blinken called for his immediate release Blinken also sought the immediate release of Whelan whom the statement said was wrongfully detained US officials said they were considering a similar determination for Gershkovich that could be made at any time Should that happen his case would be largely transferred to the office of the US Special Presidential for Hostage Affairs Whelan a Michigan corporate security executive has been imprisoned in Russia since December 2018 on espionage charges that his family and the US government have said are baseless He is serving a 16year sentence Blinken and Lavrov also discussed the importance of creating an environment that permits diplomatic missions to carry out their work according to the State Department The FSB Russias top security agency and successor to the KGB said Gershkovich was collecting information on an enterprise of the militaryindustrial complex Russian authorities detained him last week the first time a US correspondent has been held on spying accusations since the Cold War In its summary of the call Russias foreign ministry said Lavrov drew Blinkens attention to the need to respect the decisions of the Russian authorities about Gershkovich whom Moscow claims without evidence was caught redhanded The Journal has adamantly denied the allegations and demanded his release US officials have also called on Russia to let him go with President Joe Biden telling reporters on Friday that his message to the country was Let him go The Kremlin said Lavrov also told Blinken it was unacceptable for US officials and Western news media to continue whipping up excitement and politicizing the journalists detention His further fate will be determined by the court The State Department described the detention of Gershkovich as unacceptable Emma Tucker the newspapers editorinchief said it was gratifying and reassuring to learn of Blinkens call because it shows the US government is taking the case right up to the top The Journal has been unable to get messages to the reporter or learn any official information about him she told CBS Face the Nation US consular officials have requested a visit with Gershkovich but no announcement of such access has been made Officials said they were hopeful consular access could be arranged in the coming week but could not speak to when that might happen Tucker said the newspaper is hopeful a lawyer might be able to meet with Gershkovich this coming week and in the meantime has been pressing constantly for reassurance that hes not being mistreated in any way Rep Mike Turner chairman of the House Intelligence Committee noted that the government has advised US citizens to leave Russia This is not unexpected in that Russia is acting as an illegal state at this point There are no laws or rules or no international norms that they are following Turner ROhio told CNNs State of the Union In alleging that US officials and news media are hyping Gershkovichs detention Russian officials are reprising a theme they used in the apprehensions of basketball star Brittney Griner and other US citizens The Kremlin has said it prefers to resolve such cases quietly and has emphasized the need to follow Russias judicial process Often that means the chance of progress in US efforts to free its detained citizens isnt likely until formal charges are filed a trial is held a conviction is obtained and sentencing and appeals are completed More than 30 news organizations and press freedom advocates have written the Russian ambassador in the United States to express concern Russia is sending the message that reporting inside the country is criminalized On Saturday night Griner who was detained for 10 months by Russian authorities before being released in a prisoner swap for convicted Russian arms dealer Viktor Bout issued a statement with her wife Cherelle calling for the release of the 31yearold Gershkovich Every American who is taken is ours to fight for and every American returned is a win for us all the couple said in a statement posted on Instagram Interactions between the top US and Russian diplomats have been rare since Russias invasion of Ukraine in February 2022 though they did have a brief conversation last month on the sidelines of the Group of 20 conference of foreign ministers in India It was the highestlevel inperson talks between the two countries since the war That interaction was their first contact since last summer when Blinken talked to Lavrov by phone about a US proposal for Russia to release Whelan and Griner Though Whelan was not included in the oneforone swap that resulted in the release of Griner US officials said they remain committed to bringing him home Contact us at letterstimecom,business,US Secretary of State Antony Blinken urged his Russian counterpart in a rare phone call between the diplomats since the Ukraine war to immediately release a Wall Street Journal reporter who was detained last week as well as another imprisoned American Paul Whelan the State Department said Sunday
https://www.huffpost.com/entry/blinken-urges-russia-release-evan-gershkovish_n_6429a7b7e4b0b2ba2322b969,Blinken Calls For Russia To Immediately Release 2 Detained Americans,The secretary of state expressed grave concern over the Kremlins detention of Paul Whelan and Wall Street Journal reporter Evan Gershkovich,WASHINGTON AP Secretary of State Antony Blinken urged his Russian counterpart in a rare phone call between the diplomats since the Ukraine war to immediately release a Wall Street Journal reporte 4856 chars,WASHINGTON AP  Secretary of State Antony Blinken urged his Russian counterpart in a rare phone call between the diplomats since the Ukraine war to immediately release a Wall Street Journal reporter who was detained last week as well as another imprisoned American Paul Whelan the State Department said Sunday In the call with Russian Foreign Minister Sergey Lavrov Blinken conveyed grave concern over the Kremlins detention of journalist Evan Gershkovich on espionage allegations according to a State Department summary of the call Blinken called for his immediate release Advertisement Blinken also sought the immediate release of Whelan whom the statement said was wrongfully detained US Secretary of State Antony Blinken seen last month has urged his Russian counterpart to immediately release reporter Evan Gershkovich on espionage allegations ANDREW HARNIK via Getty Images Whelan a Michigan corporate security executive has been imprisoned in Russia since December 2018 on espionage charges that his family and the US government have said are baseless He is serving a 16year sentence Blinken and Lavrov also discussed the importance of creating an environment that permits diplomatic missions to carry out their work according to the State Department Advertisement The FSB Russias top security agency and successor to the KGB said Gershkovich was collecting information on an enterprise of the militaryindustrial complex Russian authorities detained him last week the first time a US correspondent has been held on spying accusations since the Cold War In its summary of the call Russias foreign ministry said Lavrov drew Blinkens attention to the need to respect the decisions of the Russian authorities about Gershkovich whom Moscow claims without evidence was caught redhanded The Journal has adamantly denied the allegations and demanded his release US officials have also called on Russia to let him go with President Joe Biden telling reporters on Friday that his message to the country was Let him go The Kremlin said Lavrov also told Blinken it was unacceptable for US officials and Western news media to continue whipping up excitement and politicizing the journalists detention His further fate will be determined by the court The State Department described the detention of Gershkovich as unacceptable Emma Tucker the newspapers editorinchief said it was gratifying and reassuring to learn of Blinkens call because it shows the US government is taking the case right up to the top The Journal has been unable to get messages to the reporter or learn any official information about him she told CBS Face the Nation Advertisement Tucker said the newspaper is hopeful a lawyer might be able to meet with Gershkovich this coming week and in the meantime has been pressing constantly for reassurance that hes not being mistreated in any way Rep Mike Turner chairman of the House Intelligence Committee noted that the government has advised US citizens to leave Russia This is not unexpected in that Russia is acting as an illegal state at this point There are no laws or rules or no international norms that they are following Turner ROhio told CNNs State of the Union In alleging that US officials and news media are hyping Gershkovichs detention Russian officials are reprising a theme they used in the apprehensions of Griner and other US citizens The Kremlin has said it prefers to resolve such cases quietly and has emphasized the need to follow Russias judicial process Often that means the likelihood of progress in US efforts to free detained its citizens isnt likely until formal charges are filed a trial is held a conviction is obtained and sentencing and appeals are completed More than 30 news organizations and press freedom advocates have written the Russian ambassador in the United States to express concern Russia is sending the message that reporting inside the country is criminalized And on Saturday night basketball star Brittney Griner who was detained for 10 months by Russian authorities before being released in a prisoner swap for convicted Russian arms dealer Viktor Bout issued a statement with her wife Cherelle calling for the release of the 31yearold Gershkovich Advertisement Every American who is taken is ours to fight for and every American returned is a win for us all the couple said in a statement posted on Instagram Interactions between the top US and Russian diplomats have been rare since Russias invasion of Ukraine in February 2022 though they did have a brief conversation last month on the sidelines of the Group of 20 conference of foreign ministers in India It was the highestlevel inperson talks between the two countries since the war,business,The detention of two US journalists in Russia has raised tensions between the two countries.
https://www.ycombinator.com/companies/peoplebox/jobs/P225TqI-account-executive-saas-sales-india-apac,Peoplebox YC S22 Is Hiring,ABOUT PEOPLEBOX Peoplebox solves the biggest problems of scaling companies  Misaligned teams and Poor Execution Speed We do this by integrating with all your work tools bringing every crossaligned goal in one single dashboard to identify red flags on time,ABOUT PEOPLEBOX Peoplebox solves the biggest problems of scaling companies  Misaligned teams and Poor Execution Speed We do this by integrating with all your work tools bringing every crossalign 2947 chars,ABOUT PEOPLEBOX Peoplebox solves the biggest problems of scaling companies  Misaligned teams and Poor Execution Speed We do this by integrating with all your work tools bringing every crossaligned goal in one single dashboard to identify red flags on time It serves as a source of truth for all your strategic goals and initiatives to align your teams and identify red flags early without the friction of new software We are currently helping many companies including Razorpay W15 Disney Postman Exotel Khatabook S18 achieve faster business results Peoplebox is awarded as Top Software Globally in one of the widest categories of Collaboration and Productivity In G2 Winters 2021 Report It received 45 awards in OKR Performance management and Engagement categories We are looking to hire an Account Executive for our India and APAC market with experience in SaaS Sales ABOUT YOU You have at least 25 years of sales experience particularly for a complex SaaS product selling in India APAC market You have been involved in building a 01 journey and a multistake holder selling cycle A proven track record You cant wait to tell us how awesome you are at Closing WHAT YOULL DO,business,We are looking to hire an Account Executive for our India and APAC market with experience in SaaS Sales
